Data,Preco_Bruto,Residuo_Macro,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,Preco_Limpo,Soma_IMF_6_5,Soma_IMF_6_5_4,Soma_IMF_6_5_4_3,Soma_IMF_6_5_4_3_2,Soma_IMF_6_5_4_3_2_1,Sinal_Direcao,Run_Length,Quebra_Regime
2024-12-17,106133.74,84989.31377067739,1698.658762685699,1711.2841969856934,1948.2375607602469,940.334501713361,503.9559482146046,14341.955258963017,102723.79704032862,14845.911207177622,15786.245708890983,17734.48326965123,19445.767466636924,21144.426229322624,-1,0,1
2024-12-18,100204.01,85102.66434087392,-1797.8203066644824,166.5317058888672,1301.496106833677,803.4736533942204,133.86581940137583,14493.798680272414,101835.2986007756,14627.664499673789,15431.138153068008,16732.634259901686,16899.165965790555,15101.345659126073,-1,0,1
2024-12-19,97461.86,85215.85319849818,-1490.2908684211056,-1708.7946390893069,433.246043158953,611.0627166324348,-232.19098874224292,14632.974537963088,100660.94550751042,14400.783549220843,15011.84626585328,15445.092309012234,13736.297669922928,12246.006801501822,-1,0,1
2024-12-20,97805.44,85328.87883688055,1345.52261257594,-2881.1241120767395,-528.3789495155492,373.4539381125071,-592.1778845881793,14759.265558611476,99341.0414995008,14167.087674023296,14540.541612135805,14012.162662620254,11131.038550543515,12476.561163119455,-1,0,1
2024-12-21,97291.99,85441.73974935102,1939.245884629761,-2652.0035172892303,-1466.3878734967566,100.99956451949544,-944.0582765085412,14872.45446879425,98004.74763265948,13928.396192285709,14029.395756805205,12563.007883308448,9911.004366019217,11850.250250648978,-1,1,0
2024-12-22,95186.27,85554.43442924005,-465.4573097965495,-1087.1335475320682,-2306.1538366618,-195.9481574620278,-1285.7955728748534,14972.323995087256,96738.86085732862,13686.528422212405,13490.580264750375,11184.426428088576,10097.292880556506,9631.835570759957,-1,2,0
2024-12-23,94881.47,85666.96136987761,-1829.2675886660295,1082.8756412848409,-2975.36612335732,-507.0369811468796,-1615.35318205971,15058.656864067492,95627.8619473812,13443.303682007783,12936.266700860904,9960.900577503584,11043.776218788424,9214.508630122396,-1,3,0
2024-12-24,98663.58,85779.31906459412,1040.3291427925676,2864.8125538709246,-3399.5073912832886,-821.9146598506125,-1930.6945124347883,15131.23580231107,94758.4383033365,13200.54128987628,12378.626630025668,8979.11923874238,11843.931792613304,12884.260935405871,-1,4,0
2024-12-25,99429.6,85891.5060067197,1614.8972279615366,3597.5201869004327,-3504.0161330557644,-1130.3678525483697,-2229.7829723718223,15189.843536394284,94217.18258513804,12960.060564022462,11829.692711474092,8325.676578418328,11923.19676531876,13538.093993280298,-1,5,0
2024-12-26,95791.6,86003.5206895847,-1137.1298716099288,2864.785117551507,-3239.885707588732,-1423.3710505881795,-2510.581970243169,15234.262792893822,94063.94475405844,12723.680822650653,11300.309772062474,8060.424064473742,10925.20918202525,9788.079310415322,-1,6,0
2024-12-27,94299.03,86115.36160651915,-1254.2811341516244,1300.2860488218723,-2660.4724515992057,-1695.08545355576,-2771.0549144204783,15264.27629838604,94253.02508532976,12493.22138396556,10798.1359304098,8137.663478810595,9437.949527632469,8183.668393480842,1,7,0
2024-12-28,95300.0,86227.02761006668,967.3150183453296,-379.67513616276216,-1842.7883738417704,-1942.3803253653684,-3009.16521327615,15279.666420234027,94712.3601178174,12270.501206957875,10328.12088159251,8485.332507750738,8105.657371587976,9072.972389933306,1,8,0
2024-12-29,93738.2,86338.52012968773,152.86385868513278,-1784.5502490723984,-863.326519421471,-2162.643893581106,-3222.8762751817785,15280.212948883884,95369.88639038726,12057.336673702106,9894.692780121,9031.36626069953,7246.816011627131,7399.679870312264,1,9,0
2024-12-30,92792.05,86449.84551583289,-601.4972156938148,-2760.0580820638397,201.4849224097008,-2353.26438576724,-3410.1515085095966,15265.690753791903,96153.60529775766,11855.539245282307,9502.27485951507,9703.759781924771,6943.701699860932,6342.204484167118,1,0,1
2024-12-31,93576.0,86561.01126509815,-162.62253825218724,-3256.7826895391368,1279.1047555433115,-2511.6300294870675,-3568.954321631268,15235.873558268202,96995.40522779131,11666.919236636935,9155.289207149868,10434.39396269318,7177.611273154043,7014.988734901856,1,1,0
2025-01-01,94591.79,86672.02487559967,-51.03315870809956,-3190.993601655384,2303.6339758841664,-2635.1290523051885,-3697.248122918956,15190.535084103789,97833.81676036348,11493.286961184833,8858.157908879642,11161.791884763808,7970.798283108425,7919.765124400325,1,2,0
2025-01-02,96984.79,86782.89384545315,1191.108524073666,-2784.459951646737,3179.94453156036,-2721.149681785038,-3792.996320744825,15129.449053089424,98578.14142757306,11336.452732344598,8615.30305055956,11795.24758211992,9010.787630473182,10201.896154546848,1,3,0
2025-01-03,98174.18,86893.625672775,933.8400858353864,-1884.9085188980448,3800.476042243845,-2767.0787370982885,-3854.163731873257,15052.389187015351,99125.24843306266,11198.225455142096,8431.146718043807,12231.622760287652,10346.714241389607,11280.554327224994,1,4,0
2025-01-04,98220.5,87004.22785568079,-626.519505567703,-523.8626284860453,4056.543281185249,-2770.1281483322978,-3878.893172634325,14959.13231815433,99370.88213405374,11080.239145520003,8310.110997187707,12366.654278372956,11842.79164988691,11216.272144319208,1,5,0
2025-01-05,98363.61,87114.70789192354,-1881.6668262696933,1034.489938501756,3840.342939424516,-2727.637441263328,-3866.182123215989,14849.555620899211,99210.78688776794,10983.373497683224,8255.736056419897,12096.078995844411,13130.568934346167,11248.902108076476,-1,6,0
2025-01-06,102235.6,87225.07326810362,1664.7813461876658,2021.1421493684584,3056.568106473504,-2639.6702827342506,-3816.208941575495,14723.914354176504,98549.67650444388,10907.70541260101,8268.03512986676,11324.603236340265,13345.74538570872,15010.526731896383,-1,7,0
2025-01-07,96954.61,87335.33143166064,-1187.5074962807623,750.4734367795253,1710.1701520050412,-2505.7225179229863,-3730.780176475315,14582.64517023387,97391.64405950124,10851.864993758556,8346.14247583557,10056.31262784061,10806.786064620135,9619.278568339372,-1,0,1
2025-01-08,95060.61,87445.4898203345,373.2806946132891,-1316.4285884372866,69.07498545472227,-2324.755219991125,-3612.259786575205,14426.208094601106,96003.757893824,10813.9483080259,8489.193088034775,8558.268073489498,7241.839485052212,7615.1201796655005,-1,0,1
2025-01-09,92552.49,87555.55587186525,-851.9168850962752,-1312.3605935716528,-1535.1103533703283,-2095.6784460805447,-3463.0627465544817,14255.063152808036,94716.76747866793,10792.000406253554,8696.321960173009,7161.211606802681,5848.851013231028,4996.934128134752,-1,0,1
2025-01-10,94726.11,87665.53702399328,828.1270929801525,40.96208791848215,-2775.1802908505906,-1817.4022533336763,-3285.6040310918647,14069.67037038422,93857.02081910137,10784.066339292356,8966.66408595868,6191.48379510809,6232.445883026572,7060.572976006724,-1,1,0
2025-01-11,94599.99,87775.44071445845,195.1132277169803,685.4561880733534,-3355.3745893490136,-1488.836698893494,-3082.298614865741,13870.489772859471,93719.42058420969,10788.19115799373,9299.354459100236,5943.9798697512215,6629.436057824575,6824.549285541555,-1,2,0
2025-01-12,94545.06,87885.27438100099,-249.6689592801404,332.01166053507274,-3114.1043255957934,-1110.8726698685705,-2855.5614725552045,13657.981385763642,94462.71729874506,10802.419913208438,9691.547243339868,6577.442917744074,6909.454578279147,6659.785618999007,1,3,0
2025-01-13,94536.1,87995.04546136089,-1045.1425884058822,-292.7864203897722,-2253.488179148841,-692.3259292040357,-2607.8075788388505,13432.605234626497,95874.02900879564,10824.797655787646,10132.471726583612,7878.983547434771,7586.1971270449985,6541.054538639117,1,4,0
2025-01-14,96560.86,88104.76139327824,-593.87091059464,-450.3068506779657,-1109.0937749022812,-243.9992936856943,-2341.451908395385,13194.821344977723,97605.0377612726,10853.36943658234,10609.370142896643,9500.276367994364,9049.969517316398,8456.098606721758,1,5,0
2025-01-15,100497.35,88214.42961449317,1239.0328929885973,-97.45316790114695,31.857490045024463,223.30286393087687,-2058.909435903805,12945.089742347289,99355.77027491256,10886.180306443484,11109.483170374362,11141.340660419386,11043.88749251824,12282.920385506835,1,6,0
2025-01-16,99987.3,88324.05756274586,-1383.3368560200815,437.76580146839495,988.7620046931856,698.7761708905874,-1762.5951360426222,12683.87045226468,100932.8710545517,10921.275316222058,11620.051487112643,12608.813491805831,13046.579293274226,11663.242437254145,1,7,0
2025-01-17,104077.48,88433.65267577644,1476.9639988898127,411.8450134474722,1626.7025406791715,1171.6162544381798,-1454.9239834906953,12411.623500259611,102188.67098766271,10956.699516768918,12128.3157712071,13755.01831188627,14166.86332533374,15643.827324223554,1,8,0
2025-01-18,104556.23,88543.22239132476,1599.1386813600052,-125.18827287194328,1917.540499433161,1631.018741818619,-1138.3109529267438,12128.808911862145,103082.27959151192,10990.4979589354,12621.51670075402,14539.05720018718,14413.868927315238,16013.007608675243,1,9,0
2025-01-19,101331.57,88652.77414713115,-1752.7195326709682,-595.0291166019548,1940.2586453798936,2065.5701631894945,-815.1710190292794,11835.88671260166,103679.31864927291,11020.71569357238,13086.285856761877,15026.544502141767,14431.515385539817,12678.795852868849,1,10,0
2025-01-20,102260.01,88762.31538093567,-1460.5435976277554,-340.26330014187346,1792.3796316820103,2460.72411362133,-487.9191564775215,11533.316928008133,104060.81689776962,11045.39777153061,13506.12188515194,15298.50151683395,14958.238216692078,13497.694619064325,1,11,0
2025-01-21,106143.82,88871.85353047839,1604.893868506117,271.3857236858962,1534.5513225733632,2798.54631109483,-158.970339949954,11221.559583611355,104267.540407808,11062.589243661405,13861.135554756233,15395.686877329596,15667.072601015492,17271.96646952161,1,12,0
2025-01-22,103706.66,88981.3960334994,-1313.344339959007,688.4293156761403,1219.5300357042668,3060.313794263521,169.2604558746201,10901.074704941051,104331.57502428288,11070.335160815674,14130.648955079196,15350.178990783465,16038.608306459602,14725.263966500595,1,13,0
2025-01-23,103910.34,89090.9503277388,-1001.5079982811582,629.6947057140304,895.6007928694046,3228.921598114456,494.3582563175643,10572.3223175269,104282.15329256712,11066.680573844464,14295.602171958924,15191.202964828328,15820.897670542356,14819.3896722612,-1,14,0
2025-01-24,104870.5,89200.52385093665,531.0865917583776,201.44916487138872,591.9364827281955,3295.8333761066665,813.9080866999229,10235.762446898783,104137.96424337022,11049.670533598708,14345.503909705374,14937.44039243357,15138.889557304958,15669.976149063335,-1,15,0
2025-01-25,104746.85,89310.124040833,1067.1977138470836,-241.1471740071016,337.3592964029452,3255.8326657169387,1125.6283386206292,9891.855118586498,103920.79946016002,11017.483457207129,14273.316122924063,14610.67541932701,14369.528245319909,15436.725959166992,-1,16,0
